SalesID,DateKey,Date,CustomerID,ProductID,StoreID,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod,Channel,IsRefunded
90001,20240406,2024-04-06,1043,5004,2007,2,1766.28,176.63,3355.93,Cash,HomeService,0
90002,20240320,2024-03-20,1013,5011,2010,1,4979.85,497.99,4481.86,Cash,Online,0
90003,20240307,2024-03-07,1051,5015,2009,1,5038.05,251.9,4786.15,Wallet,InPerson,1
90004,20240903,2024-09-03,1002,5029,2011,3,4978.53,746.78,14188.81,Card,HomeService,0
90005,20241012,2024-10-12,1017,5021,2008,3,576.78,28.84,1701.5,Cash,InPerson,0
90006,20240723,2024-07-23,1036,5008,2003,1,520.77,0.0,520.77,Card,HomeService,0
90007,20240126,2024-01-26,1045,5001,2010,1,2178.73,0.0,2178.73,Wallet,InPerson,0
90008,20240401,2024-04-01,1040,5021,2006,3,500.04,0.0,1500.12,Cash,Online,0
90009,20241215,2024-12-15,1031,5014,2009,3,547.35,27.37,1614.68,Wallet,Online,0
90010,20241130,2024-11-30,1041,5002,2005,1,3080.03,308.0,2772.03,Wallet,InPerson,0
90011,20241216,2024-12-16,1006,5008,2012,2,605.93,90.89,1120.97,UPI,HomeService,0
90012,20241006,2024-10-06,1011,5004,2011,3,2024.31,101.22,5971.71,Card,HomeService,0
90013,20240720,2024-07-20,1021,5020,2011,1,6170.47,617.05,5553.42,Cash,InPerson,0
90014,20240806,2024-08-06,1013,5005,2008,3,3360.75,0.0,10082.25,Cash,HomeService,0
90015,20240816,2024-08-16,1041,5020,2004,3,5602.63,280.13,16527.76,Card,InPerson,0
90016,20240921,2024-09-21,1045,5010,2001,2,4659.82,0.0,9319.64,UPI,HomeService,0
90017,20241106,2024-11-06,1053,5027,2002,1,4508.8,225.44,4283.36,Card,HomeService,0
90018,20241112,2024-11-12,1040,5016,2008,3,3792.64,379.26,10998.66,Cash,Online,0
90019,20240128,2024-01-28,1013,5002,2001,2,2789.8,418.47,5161.13,Card,HomeService,0
90020,20240412,2024-04-12,1022,5002,2006,1,2973.81,0.0,2973.81,Wallet,InPerson,0
90021,20240321,2024-03-21,1044,5010,2012,3,3011.55,150.58,8884.07,UPI,InPerson,0
90022,20241114,2024-11-14,1043,5015,2007,3,4421.15,663.17,12600.28,Card,HomeService,0
90023,20240625,2024-06-25,1046,5015,2010,1,3249.01,487.35,2761.66,UPI,HomeService,0
90024,20240425,2024-04-25,1050,5009,2010,1,5587.37,0.0,5587.37,Cash,InPerson,0
90025,20241115,2024-11-15,1025,5016,2010,2,3579.51,0.0,7159.02,UPI,HomeService,0
90026,20240317,2024-03-17,1052,5016,2009,2,2361.71,236.17,4487.25,Cash,InPerson,0
90027,20241123,2024-11-23,1001,5017,2004,3,4261.88,213.09,12572.55,Card,InPerson,0
90028,20240427,2024-04-27,1030,5003,2007,3,2942.38,441.36,8385.78,Cash,InPerson,0
90029,20240407,2024-04-07,1010,5028,2009,1,1628.62,244.29,1384.33,Wallet,Online,0
90030,20240222,2024-02-22,1023,5028,2004,2,1526.76,76.34,2977.18,UPI,Online,0
90031,20240924,2024-09-24,1050,5005,2010,2,3289.06,164.45,6413.67,Wallet,HomeService,0
90032,20240217,2024-02-17,1054,5027,2004,3,3198.15,479.72,9114.73,UPI,HomeService,0
90033,20240305,2024-03-05,1027,5022,2002,2,1294.37,194.16,2394.58,UPI,HomeService,0
90034,20240112,2024-01-12,1008,5015,2008,1,6099.44,304.97,5794.47,UPI,HomeService,0
90035,20241009,2024-10-09,1027,5010,2012,1,4406.29,0.0,4406.29,Card,HomeService,0
90036,20240220,2024-02-20,1022,5006,2003,3,1835.02,0.0,5505.06,Cash,Online,0
90037,20240326,2024-03-26,1010,5018,2002,1,2505.47,250.55,2254.92,Wallet,InPerson,0
90038,20241202,2024-12-02,1035,5013,2001,2,3445.63,172.28,6718.98,UPI,Online,0
90039,20240812,2024-08-12,1038,5019,2012,1,3006.6,300.66,2705.94,Wallet,InPerson,0
90040,20240803,2024-08-03,1028,5003,2010,3,3086.68,0.0,9260.04,Card,HomeService,0
90041,20241206,2024-12-06,1018,5020,2010,2,5894.84,294.74,11494.94,Card,InPerson,0
90042,20240719,2024-07-19,1030,5028,2012,2,2421.1,121.06,4721.14,Wallet,InPerson,0
90043,20241213,2024-12-13,1008,5017,2002,3,4762.46,0.0,14287.38,Card,Online,0
90044,20240311,2024-03-11,1047,5026,2009,2,1006.0,50.3,1961.7,UPI,InPerson,0
90045,20241213,2024-12-13,1042,5012,2008,3,983.52,0.0,2950.56,Wallet,Online,0
90046,20240816,2024-08-16,1016,5005,2012,2,3682.51,184.13,7180.89,UPI,Online,0
90047,20240829,2024-08-29,1022,5002,2004,1,3719.17,185.96,3533.21,Wallet,InPerson,0
90048,20241116,2024-11-16,1046,5002,2001,1,1774.34,266.15,1508.19,UPI,InPerson,0
90049,20240301,2024-03-01,1044,5021,2004,2,440.95,66.14,815.76,Cash,HomeService,0
90050,20241121,2024-11-21,1039,5016,2005,2,2910.76,145.54,5675.98,UPI,InPerson,0
90051,20240930,2024-09-30,1032,5012,2009,3,892.09,133.81,2542.46,UPI,InPerson,0
90052,20240430,2024-04-30,1012,5014,2003,3,1201.26,0.0,3603.78,Card,HomeService,0
90053,20240702,2024-07-02,1019,5024,2004,1,1755.53,263.33,1492.2,Wallet,HomeService,0
90054,20241014,2024-10-14,1002,5020,2002,2,4188.54,209.43,8167.65,Cash,HomeService,0
90055,20241102,2024-11-02,1006,5029,2007,3,3353.35,0.0,10060.05,Wallet,Online,0
90056,20240811,2024-08-11,1039,5018,2003,3,2844.93,142.25,8392.54,Wallet,HomeService,0
90057,20240126,2024-01-26,1044,5007,2009,3,3016.11,452.42,8595.91,UPI,HomeService,0
90058,20241003,2024-10-03,1025,5023,2009,2,3781.75,189.09,7374.41,Wallet,Online,0
90059,20240326,2024-03-26,1030,5015,2007,2,3010.81,0.0,6021.62,UPI,Online,0
90060,20240315,2024-03-15,1019,5018,2010,3,3563.89,178.19,10513.48,Wallet,Online,0
90061,20240706,2024-07-06,1009,5023,2005,3,4144.25,621.64,11811.11,Wallet,HomeService,0
90062,20240912,2024-09-12,1039,5014,2007,2,1163.39,174.51,2152.27,Wallet,HomeService,0
90063,20241210,2024-12-10,1004,5003,2008,2,2564.1,256.41,4871.79,Wallet,Online,0
90064,20240223,2024-02-23,1014,5005,2001,2,2170.46,217.05,4123.87,Card,Online,0
90065,20240203,2024-02-03,1005,5013,2009,2,1962.32,196.23,3728.41,Wallet,Online,0
90066,20240829,2024-08-29,1020,5005,2002,2,3876.1,387.61,7364.59,UPI,Online,0
90067,20240623,2024-06-23,1056,5005,2011,3,4598.94,689.84,13106.98,UPI,Online,0
90068,20241212,2024-12-12,1014,5014,2005,2,1260.97,126.1,2395.84,Cash,Online,0
90069,20240216,2024-02-16,1009,5018,2010,1,2116.33,317.45,1798.88,UPI,HomeService,0
90070,20241211,2024-12-11,1027,5016,2003,3,3934.0,393.4,11408.6,Card,InPerson,0
90071,20241229,2024-12-29,1027,5006,2001,1,1870.67,93.53,1777.14,UPI,Online,0
90072,20240622,2024-06-22,1039,5004,2001,2,1870.22,187.02,3553.42,Card,HomeService,0
90073,20241114,2024-11-14,1024,5013,2002,2,2665.73,399.86,4931.6,Wallet,Online,0
90074,20241219,2024-12-19,1043,5029,2009,1,6077.92,0.0,6077.92,UPI,HomeService,0
90075,20240212,2024-02-12,1025,5020,2007,1,3583.97,179.2,3404.77,Card,Online,0
90076,20240919,2024-09-19,1028,5029,2004,1,6217.33,310.87,5906.46,UPI,InPerson,0
90077,20240123,2024-01-23,1031,5012,2009,3,1563.0,234.45,4454.55,Cash,HomeService,0
90078,20241203,2024-12-03,1015,5026,2008,1,1416.79,212.52,1204.27,Wallet,InPerson,0
90079,20240208,2024-02-08,1041,5011,2004,1,3749.72,0.0,3749.72,Card,InPerson,0
90080,20240818,2024-08-18,1033,5030,2009,1,2992.22,149.61,2842.61,UPI,InPerson,0
90081,20240505,2024-05-05,1020,5019,2011,2,1397.73,209.66,2585.8,Card,HomeService,0
90082,20240701,2024-07-01,1029,5028,2009,3,2270.53,340.58,6471.01,Wallet,HomeService,0
90083,20240416,2024-04-16,1050,5022,2002,1,703.69,70.37,633.32,UPI,InPerson,0
90084,20240804,2024-08-04,1045,5018,2001,3,2348.53,0.0,7045.59,Cash,InPerson,0
90085,20240407,2024-04-07,1021,5028,2002,2,1473.17,73.66,2872.68,Card,InPerson,0
90086,20240413,2024-04-13,1023,5027,2008,1,3324.91,498.74,2826.17,Wallet,InPerson,0
90087,20240103,2024-01-03,1031,5024,2003,3,2282.69,0.0,6848.07,Card,InPerson,0
90088,20240129,2024-01-29,1024,5001,2011,3,2703.68,270.37,7840.67,Wallet,InPerson,0
90089,20240905,2024-09-05,1004,5026,2003,1,1724.16,258.62,1465.54,Cash,HomeService,0
